id,label
0,9201001
1,9201002
2,9201003
3,9201004
4,9201005
5,9201006
6,9201007
7,9201008
8,9201009
9,9201010
10,9201011
11,9201013
12,9201014
13,9201015
14,9201016
15,9201017
16,9201019
17,9201020
18,9201021
19,9201024
20,9201025
21,9201026
22,9201027
23,9201028
24,9201029
25,9201030
26,9201031
27,9201032
28,9201033
29,9201034
30,9201035
31,9201036
32,9201037
33,9201039
34,9201040
35,9201041
36,9201042
37,9201044
38,9201045
39,9201047
40,9201048
41,9201049
42,9201050
43,9201051
44,9201052
45,9201054
46,9201056
47,9201057
48,9201058
49,9201059
50,9201061
51,9201062
52,9201063
53,9201064
54,9201065
55,9201066
56,9201067
57,9201068
58,9201069
59,9201070
60,9201071
61,9201072
62,9201074
63,9201077
64,9201078
65,9201079
66,9201080
67,9202001
68,9202002
69,9202003
70,9202004
71,9202005
72,9202006
73,9202007
74,9202008
75,9202009
76,9202011
77,9202012
78,9202013
79,9202014
80,9202015
81,9202017
82,9202018
83,9202019
84,9202020
85,9202021
86,9202022
87,9202024
88,9202025
89,9202026
90,9202028
91,9202031
92,9202032
93,9202033
94,9202034
95,9202035
96,9202036
97,9202037
98,9202038
99,9202039
100,9202040
101,9202043
102,9202045
103,9202046
104,9202047
105,9202050
106,9202051
107,9202052
108,9202053
109,9202054
110,9202056
111,9202057
112,9202058
113,9202059
114,9202060
115,9202061
116,9202062
117,9202063
118,9202065
119,9202066
120,9202067
121,9202069
122,9202070
123,9202072
124,9202073
125,9202074
126,9202075
127,9202076
128,9202077
129,9202078
130,9202079
131,9202080
132,9202081
133,9202085
134,9202086
135,9202087
136,9202089
137,9202090
138,9202092
139,9203003
140,9203004
141,9203007
142,9203008
143,9203009
144,9203010
145,9203011
146,9203012
147,9203013
148,9203014
149,9203015
150,9203016
151,9203018
152,9203019
153,9203021
154,9203022
155,9203023
156,9203024
157,9203025
158,9203026
159,9203028
160,9203029
161,9203030
162,9203031
163,9203032
164,9203033
165,9203034
166,9203035
167,9203036
168,9203037
169,9203038
170,9203039
171,9203040
172,9203042
173,9203043
174,9203044
175,9203045
176,9203046
177,9203047
178,9203048
179,9203050
180,9203051
181,9203052
182,9203054
183,9203056
184,9203057
185,9203058
186,9203059
187,9203060
188,9203061
189,9203062
190,9203065
191,9203066
192,9203067
193,9203068
194,9203069
195,9203070
196,9203071
197,9203073
198,9203074
199,9203075
200,9203076
201,9203077
202,9203078
203,9203079
204,9203080
205,9203081
206,9203082
207,9203083
208,9203084
209,9204001
210,9204002
211,9204003
212,9204004
213,9204007
214,9204011
215,9204012
216,9204013
217,9204015
218,9204016
219,9204017
220,9204018
221,9204019
222,9204020
223,9204021
224,9204023
225,9204024
226,9204025
227,9204026
228,9204027
229,9204028
230,9204030
231,9204031
232,9204033
233,9204035
234,9204036
235,9204037
236,9204038
237,9204039
238,9204040
239,9204041
240,9204042
241,9204044
242,9204045
243,9204046
244,9204047
245,9204048
246,9204049
247,9204050
248,9204051
249,9204052
250,9204053
251,9204054
252,9204056
253,9204057
254,9204058
255,9204059
256,9204060
257,9204061
258,9204063
259,9204064
260,9204065
261,9204066
262,9204067
263,9204069
264,9204070
265,9204071
266,9204072
267,9204074
268,9204075
269,9204077
270,9204079
271,9204080
272,9204081
273,9204082
274,9204083
275,9204084
276,9204085
277,9204086
278,9204088
279,9204089
280,9204090
281,9204092
282,9204093
283,9204094
284,9204095
285,9204097
286,9204098
287,9204099
288,9204100
289,9204101
290,9204102
291,9204103
292,9205001
293,9205002
294,9205003
295,9205004
296,9205005
297,9205006
298,9205007
299,9205008
300,9205009
301,9205011
302,9205012
303,9205013
304,9205014
305,9205015
306,9205016
307,9205018
308,9205019
309,9205020
310,9205021
311,9205022
312,9205024
313,9205025
314,9205026
315,9205027
316,9205028
317,9205029
318,9205030
319,9205031
320,9205032
321,9205033
322,9205034
323,9205037
324,9205038
325,9205039
326,9205040
327,9205041
328,9205042
329,9205043
330,9205044
331,9205045
332,9205046
333,9205049
334,9205050
335,9205051
336,9205052
337,9205053
338,9205055
339,9205056
340,9205057
341,9205058
342,9205059
343,9205060
344,9205061
345,9205062
346,9205064
347,9205065
348,9205066
349,9205067
350,9205068
351,9205069
352,9205070
353,9205071
354,9205072
355,9205073
356,9205074
357,9205077
358,9205078
359,9205081
360,9205082
361,9205084
362,9205085
363,9205086
364,9205087
365,9205088
366,9205089
367,9205090
368,9205091
369,9205092
370,9205093
371,9205094
372,9205095
373,9205096
374,9205097
375,9205098
376,9205099
377,9205100
378,9205101
379,9205102
380,9205103
381,9205104
382,9205105
383,9205107
384,9205110
385,9205111
386,9205112
387,9205113
388,9205114
389,9205115
390,9205116
391,9205117
392,9206001
393,9206002
394,9206003
395,9206004
396,9206005
397,9206006
398,9206007
399,9206008
400,9206009
401,9206010
402,9206014
403,9206015
404,9206016
405,9206017
406,9206018
407,9206019
408,9206020
409,9206021
410,9206022
411,9206023
412,9206024
413,9206026
414,9206027
415,9206028
416,9206029
417,9206031
418,9206032
419,9206033
420,9206034
421,9206035
422,9206036
423,9206037
424,9206038
425,9206039
426,9206040
427,9206041
428,9206042
429,9206043
430,9206044
431,9206045
432,9206046
433,9206047
434,9206048
435,9206049
436,9206050
437,9206051
438,9206052
439,9206053
440,9206054
441,9206055
442,9206056
443,9206058
444,9206059
445,9206060
446,9206061
447,9206062
448,9206063
449,9206065
450,9206066
451,9206067
452,9206069
453,9206070
454,9206071
455,9206073
456,9206075
457,9206076
458,9206077
459,9206078
460,9206079
461,9206080
462,9206081
463,9206082
464,9206083
465,9206084
466,9206085
467,9206087
468,9206088
469,9206089
470,9206090
471,9206091
472,9206093
473,9206095
474,9206096
475,9206097
476,9206098
477,9206099
478,9206100
479,9206101
480,9206102
481,9206103
482,9206104
483,9206106
484,9206107
485,9206110
486,9206111
487,9206112
488,9206113
489,9206114
490,9207001
491,9207002
492,9207003
493,9207004
494,9207005
495,9207006
496,9207008
497,9207009
498,9207010
499,9207011
500,9207012
501,9207013
502,9207014
503,9207015
504,9207016
505,9207017
506,9207018
507,9207019
508,9207020
509,9207022
510,9207023
511,9207024
512,9207025
513,9207026
514,9207027
515,9207028
516,9207029
517,9207030
518,9207031
519,9207032
520,9207034
521,9207036
522,9207039
523,9207040
524,9207041
525,9207042
526,9207045
527,9207046
528,9207047
529,9207048
530,9207049
